clade_name,pfpos_10_met_abs,pfpos_9_met_abs,pfpos_8_met_abs,pfpos_7_met_abs,pfpos_6_met_abs,pfpos_5_met_abs,pfpos_4_met_abs,pfpos_3_met_abs,pfpos_2_met_abs,pfpos_1_met_abs,RDS_9_met_abs,RDS_8_met_abs,RDS_7_met_abs,RDS_6_met_abs,RDS_5_met_abs,RDS_4_met_abs,RDS_3_met_abs,RDS_2_met_abs,RDS_1_met_abs,SMA_13_met_abs,SMA_12_met_abs,SMA_11_met_abs,SMA_10_met_abs,SMA_9_met_abs,SMA_8_met_abs,SMA_7_met_abs,SMA_6_met_abs,SMA_5_met_abs,SMA_4_met_abs,SMA_3_met_abs,SMA_2_met_abs,SMA_1_met_abs,CM_9_met_abs,CM_8_met_abs,CM_7_met_abs,CM_6_met_abs,CM_5_met_abs,CM_4_met_abs,CM_3_met_abs,CM_2_met_abs,CM_1_met_abs
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__SGB698,0,0,14347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria,94258989,98444787,104733476,76579176,73854261,104496716,115745053,75265533,124915631,78386161,87201910,80397128,67300088,93357966,92930544,101433535,114399207,72805503,98762345,108636013,80134206,100128391,113423292,89655008,123579876,80914481,81486011,112938790,87058637,71661469,82247475,91623674,58063248,72974921,131949994,57153540,85583891,67649472,94623189,93204749,121280487
k__Bacteria|p__Actinobacteria,12423000,3405016,707545,1216009,1057285,1567872,565877,763631,2884599,6486340,1335725,4743501,250555,558825,277,1446193,7428927,2192865,73605,4993296,10332479,5385408,246070,1741519,60644,15492252,1615542,7263160,492210,2108137,16781852,2212778,21381,648018,902545,402682,3322624,13910631,487684,1005083,15042895
k__Bacteria|p__Actinobacteria|c__Actinobacteria,10557898,2733219,214,649867,58271,10516,22208,316845,75315,4729491,452437,191003,14830,289273,0,533665,644692,893785,53052,3653373,9655373,3898367,241264,445257,59798,15330966,396216,5525560,202888,919477,14955671,24107,6765,181560,33552,14014,74607,14485,65756,35313,2750544
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__GGB39918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__GGB39918|s__GGB39918_SGB47522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__GGB39918|s__GGB39918_SGB47522|t__SGB47522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,12756,4780,214,4780,9405,196,10024,1846,10890,236435,0,13489,0,81852,0,52107,481730,817543,41355,48891,129055,4230,1779,173250,33335,152509,19505,44955,62827,92633,26431,23989,0,14131,6995,10518,61138,10532,53582,15228,67522
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,12756,4780,214,4780,9405,196,10024,1846,10890,236435,0,13489,0,81852,0,52107,481730,817543,41355,48891,129055,4230,1779,173250,33335,152509,19505,44955,62827,92633,26431,23989,0,14131,6995,10518,61138,10532,53582,15228,67522
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,25248,62,0,329,0,0,0,408,0,0,0,0,41,1839,0,738,0,0,0,0,0,0,0,0,1846
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,25248,62,0,329,0,0,0,408,0,0,0,0,41,1839,0,738,0,0,0,0,0,0,0,0,1846
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183|t__SGB15892,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,25248,62,0,329,0,0,0,408,0,0,0,0,41,1839,0,738,0,0,0,0,0,0,0,0,1846
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,7633,4490,214,4780,9244,0,10024,1846,9577,202611,0,11427,0,33136,0,45675,423233,26804,21410,45307,124522,3449,1779,161327,28262,132933,17490,44416,62786,78946,17715,23251,0,14078,4666,10400,55057,10532,48764,15145,36967
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB15893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51406,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB15893|t__SGB15893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51406,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17154,3224,2800,0,743,9244,0,0,0,0,19422,0,0,0,0,0,39122,0,911,21410,3652,20291,0,0,5440,0,0,0,12989,0,0,0,3849,0,0,0,3476,0,0,32014,4964,9960
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17154|t__SGB17154,3224,2800,0,743,9244,0,0,0,0,19422,0,0,0,0,0,39122,0,911,21410,3652,20291,0,0,5440,0,0,0,12989,0,0,0,3849,0,0,0,3476,0,0,32014,4964,9960
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17168,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,5864,0,0,0,0,0,0,0,0,6577,0,0,0,0,1932,0,0,0,1573,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17168|t__SGB17168,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,5864,0,0,0,0,0,0,0,0,6577,0,0,0,0,1932,0,0,0,1573,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_dentalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6113,0,0,3735,0,0,0,0,0,0,0,0,3449,798,0,0,0,0,0,0,0,352,0,0,658
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_dentalis|t__SGB15877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6113,0,0,3735,0,0,0,0,0,0,0,0,3449,798,0,0,0,0,0,0,0,352,0,0,658
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_gerencseriae,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,23162,217,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_gerencseriae|t__SGB15874,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,23162,217,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,0,36,0,0,0,0,795,0,1375,38617,0,0,0,5011,0,0,61745,13769,0,19978,0,0,0,20417,0,8343,255,0,26772,35897,0,536,0,4378,0,4578,0,0,2407,0,384
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__SGB17130,0,36,0,0,0,0,795,0,1375,38617,0,0,0,5011,0,0,61745,13769,0,19978,0,0,0,20417,0,8343,255,0,26772,35897,0,536,0,4378,0,4578,0,0,2407,0,384
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_israelii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,2511,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_israelii|t__SGB15875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,2511,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii,0,0,0,0,0,0,0,804,0,2074,0,4789,0,0,0,0,25947,0,0,366,0,0,0,0,7436,7167,92,0,0,0,0,0,0,192,0,0,0,0,0,0,2088
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii|t__SGB15887,0,0,0,0,0,0,0,804,0,2074,0,4789,0,0,0,0,25947,0,0,366,0,0,0,0,7436,7167,92,0,0,0,0,0,0,192,0,0,0,0,0,0,2088
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis,0,0,0,0,0,0,0,138,0,5271,0,1630,0,13702,0,0,8549,0,0,0,0,0,906,5663,0,105,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis|t__SGB15873,0,0,0,0,0,0,0,138,0,5271,0,1630,0,13702,0,0,8549,0,0,0,0,0,906,5663,0,105,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii,0,0,0,0,0,0,0,316,0,69031,0,0,0,9006,0,5507,39106,0,0,2132,38406,2471,873,15822,18670,29319,4179,23597,1265,2890,10118,0,0,2084,4666,0,48594,0,0,0,15950
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii|t__SGB15888,0,0,0,0,0,0,0,316,0,69031,0,0,0,9006,0,5507,39106,0,0,2132,38406,2471,873,15822,18670,29319,4179,23597,1265,2890,10118,0,0,2084,4666,0,48594,0,0,0,15950
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris,0,1654,0,4037,0,0,0,0,1707,23382,0,5008,0,5417,0,238,64069,7489,0,2854,64825,978,0,48247,2156,87999,1568,7830,12275,20353,7597,18866,0,731,0,415,6463,3103,0,0,6834
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris|t__SGB15878,0,1654,0,4037,0,0,0,0,1707,23382,0,5008,0,5417,0,238,64069,7489,0,2854,64825,978,0,48247,2156,87999,1568,7830,12275,20353,7597,18866,0,731,0,415,6463,3103,0,0,6834
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47,563,0,214,0,0,0,7027,0,6311,14263,0,0,0,0,0,0,120777,352,0,6336,0,0,0,2735,0,0,6391,0,9326,15089,0,0,0,3178,0,1931,0,2202,5603,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47|t__SGB17167,563,0,214,0,0,0,7027,0,6311,14263,0,0,0,0,0,0,120777,352,0,6336,0,0,0,2735,0,0,6391,0,9326,15089,0,0,0,3178,0,1931,0,2202,5603,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM58,3846,0,0,0,0,0,473,0,0,15122,0,0,0,0,0,0,18571,0,0,0,0,0,0,61285,0,0,4788,0,0,249,0,0,0,1549,0,0,0,3149,0,10181,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM58|t__SGB17169,3846,0,0,0,0,0,473,0,0,15122,0,0,0,0,0,0,18571,0,0,0,0,0,0,61285,0,0,4788,0,0,249,0,0,0,1549,0,0,0,3149,0,10181,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3,0,0,0,0,0,0,1232,0,184,15429,0,0,0,0,0,808,2792,0,0,0,0,0,0,1718,0,0,217,0,3122,1022,0,0,0,34,0,0,0,153,8740,0,1093
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3|t__SGB17132_group,0,0,0,0,0,0,1232,0,184,15429,0,0,0,0,0,808,2792,0,0,0,0,0,0,1718,0,0,217,0,3122,1022,0,0,0,34,0,0,0,153,8740,0,1093
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448|t__SGB15872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_urogenitalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_urogenitalis|t__SGB15868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122,0,0,2238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6081,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium|s__Arcanobacterium_haemolyticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122,0,0,2238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6081,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium|s__Arcanobacterium_haemolyticum|t__SGB17198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122,0,0,2238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6081,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7521
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_SGB15488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7521
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_SGB15488|t__SGB15488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7521
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia,0,0,0,0,0,0,0,0,0,1638,0,0,0,0,0,0,18735,0,0,409,0,0,0,198,1779,0,0,0,0,5977,108,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_hongkongensis,0,0,0,0,0,0,0,0,0,1638,0,0,0,0,0,0,18735,0,0,409,0,0,0,198,1779,0,0,0,0,5977,108,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_hongkongensis|t__SGB17148,0,0,0,0,0,0,0,0,0,1638,0,0,0,0,0,0,18735,0,0,409,0,0,0,198,1779,0,0,0,0,5977,108,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Peptidiphaga,0,290,0,0,0,0,0,0,0,0,0,0,0,160,0,0,2816,0,0,0,0,0,0,1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Peptidiphaga|s__Peptidiphaga_gingivicola,0,290,0,0,0,0,0,0,0,0,0,0,0,160,0,0,2816,0,0,0,0,0,0,1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Peptidiphaga|s__Peptidiphaga_gingivicola|t__SGB15894,0,290,0,0,0,0,0,0,0,0,0,0,0,160,0,0,2816,0,0,0,0,0,0,1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia,4336,0,0,0,0,0,0,0,711,0,0,1367,0,0,0,0,1726,785234,0,0,0,0,0,0,0,0,696,0,0,2763,0,0,0,0,0,0,0,0,0,0,3365
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_georgiae,0,0,0,0,0,0,0,0,0,0,0,1367,0,0,0,0,1726,0,0,0,0,0,0,0,0,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_georgiae|t__SGB17149,0,0,0,0,0,0,0,0,0,0,0,1367,0,0,0,0,1726,0,0,0,0,0,0,0,0,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_turicensis,4336,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,0,785234,0,0,0,0,0,0,0,0,0,0,0,2763,0,0,0,0,0,0,0,0,0,0,3365
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_turicensis|t__SGB17195,4336,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,0,785234,0,0,0,0,0,0,0,0,0,0,0,2763,0,0,0,0,0,0,0,0,0,0,3365
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella,787,0,0,0,161,196,0,0,602,32143,0,0,0,48451,0,6432,6850,5443,19945,608,4533,781,0,9436,3294,19268,1319,539,0,3108,8608,0,0,53,2329,118,0,0,4818,83,13474
